time	Amp
0	-0.03
0.001	-0.02
0.002	-0.02
0.003	-0.02
0.004	-0.02
0.005	-0.02
0.006	-0.02
0.007	-0.01
0.008	-0.01
0.009	0
0.01	0
0.011	0
0.012	0.01
0.013	0.02
0.014	0.03
0.015	0.04
0.016	0.076
0.017	0.092
0.018	0.116
0.019	0.148
0.02	0.172
0.021	0.204
0.022	0.228
0.023	0.26
0.024	0.292
0.025	0.316
0.026	0.34
0.027	0.356
0.028	0.372
0.029	0.388
0.03	0.396
0.031	0.404
0.032	0.404
0.033	0.412
0.034	0.404
0.035	0.396
0.036	0.388
0.037	0.372
0.038	0.364
0.039	0.34
0.04	0.316
0.041	0.3
0.042	0.284
0.043	0.26
0.044	0.228
0.045	0.204
0.046	0.156
0.047	0.132
0.048	0.1
0.049	0.06
0.05	0.04
0.051	0
0.052	-0.02
0.053	-0.05
0.054	-0.08
0.055	-0.09
0.056	-0.11
0.057	-0.12
0.058	-0.14
0.059	-0.14
0.06	-0.14
0.061	-0.15
0.062	-0.14
0.063	-0.14
0.064	-0.14
0.065	-0.14
0.066	-0.12
0.067	-0.11
0.068	-0.11
0.069	-0.09
0.07	-0.08
0.071	-0.08
0.072	-0.07
0.073	-0.06
0.074	-0.06
0.075	-0.05
0.076	-0.05
0.077	-0.05
0.078	-0.04
0.079	-0.04
0.08	-0.04
0.081	-0.03
0.082	-0.03
0.083	-0.03
0.084	-0.02
0.085	-0.01
0.086	0
0.087	-0.01
0.088	0
0.089	0
0.09	-0.01
0.091	0
0.092	-0.01
0.093	0
0.094	0
0.095	-0.01
0.096	0
0.097	0
0.098	0
0.099	0.01
0.1	0.01
0.101	0.02
0.102	0.03
0.103	0.02
0.104	0.03
0.105	0.02
0.106	0.03
0.107	0.03
0.108	0.02
0.109	0.02
0.11	0.02
0.111	0.02
0.112	0.02
0.113	0.02
0.114	0.02
0.115	0.02
0.116	0.02
0.117	0.03
0.118	0.03
0.119	0.03
0.12	0.03
0.121	0.03
0.122	0.03
0.123	0.04
0.124	0.04
0.125	0.04
0.126	0.03
0.127	0.04
0.128	0.04
0.129	0.04
0.13	0.04
0.131	0.04
0.132	0.04
0.133	0.04
0.134	0.04
0.135	0.05
0.136	0.06
0.137	0.05
0.138	0.05
0.139	0.05
0.14	0.05
0.141	0.05
0.142	0.05
0.143	0.05
0.144	0.05
0.145	0.05
0.146	0.05
0.147	0.05
0.148	0.06
0.149	0.06
0.15	0.06
0.151	0.06
0.152	0.06
0.153	0.06
0.163	0.068
0.173	0.084
0.183	0.092
0.193	0.116
0.203	0.148
0.213	0.18
0.223	0.212
0.233	0.244
0.243	0.276
0.253	0.284
0.263	0.292
0.273	0.268
0.283	0.22
0.293	0.156
0.303	0.1
0.313	0.068
0.323	0.04
0.333	0.01
0.343	0.01
0.353	0
0.363	0
0.373	0
0.383	0
0.393	0
0.403	0
0.413	0
0.423	0
0.433	-0.03
0.443	0
0.453	-0.01
0.463	-0.02
0.473	-0.01
0.483	0
0.493	-0.01
0.503	-0.02
0.513	-0.03
0.523	-0.01
0.533	-0.01
0.543	-0.02
0.553	-0.02
0.563	-0.01
0.573	-0.02
0.583	-0.02
0.593	0
0.603	0
0.613	0
0.623	0.01
0.633	0.01
0.643	0.03
0.653	0.02
0.663	0
0.673	-0.01
0.683	-0.01
0.693	-0.02
0.703	-0.03
0.713	-0.03
